,Predictions,Actual,Stock Price,,,,,,ROI,,,,
1181,108.9477544,113.76,106.67,TRUE,FALSE,FALSE,6.6%,,,,,,
696,86.09803958,82.83,83.17,TRUE,FALSE,FALSE,-0.4%,,,,,,
1519,172.0051464,173.97,173.29,FALSE,TRUE,FALSE,0.4%,,,,,,
1213,106.2553928,116.84,105.52,TRUE,FALSE,FALSE,10.7%,,,,,,
474,71.81985385,68,72.72,FALSE,TRUE,FALSE,-6.5%,,,,,,
1686,70.10762119,87.26,69.04,TRUE,FALSE,FALSE,26.4%,,,,,,
1524,89.1299741,84.96,85.87,TRUE,FALSE,FALSE,-1.1%,,,,,,
1671,97.98329611,96.84,100.25,FALSE,TRUE,FALSE,-3.4%,,,,,,
1672,58.12828994,57.06,57.49,TRUE,FALSE,FALSE,-0.7%,,,,,,
1408,120.1905025,119.25,118.79,TRUE,FALSE,FALSE,0.4%,,,,,,
639,151.77243,154.57,149.35,TRUE,FALSE,FALSE,3.5%,,,,,,
1750,63.20449215,51.71,60.39,TRUE,FALSE,FALSE,-14.4%,,,,,,
1502,71.93394894,77.24,68.97,TRUE,FALSE,FALSE,12.0%,,,,,,
69,61.85075807,48.15,62.79,FALSE,TRUE,FALSE,-23.3%,,,,,,
1727,107.8888466,110.31,102.98,TRUE,FALSE,FALSE,7.1%,,,,,,
1560,171.8549879,186.5,164.76,TRUE,FALSE,FALSE,13.2%,,,,,,
1697,129.0797202,102.67,125.81,TRUE,FALSE,FALSE,-18.4%,,,,,,
285,1518.057468,1603.07,1517.96,TRUE,FALSE,FALSE,5.6%,,,,,,
467,53.39129004,40.48,49.05,TRUE,FALSE,FALSE,-17.5%,,,,,,
591,67.01494544,70.3,66.52,TRUE,FALSE,FALSE,5.7%,,,,,,
1210,27.67509679,27.79,26.6,TRUE,FALSE,FALSE,4.5%,,,,,,
83,234.4929727,258.97,222.03,TRUE,FALSE,FALSE,16.6%,,,,,,
63,88.39897069,87.53,86.56,TRUE,FALSE,FALSE,1.1%,,,,,,
1573,103.4495885,111.46,107.94,FALSE,TRUE,FALSE,3.3%,,,,,,
1237,76.1111354,72.4,75.58,TRUE,FALSE,FALSE,-4.2%,,,,,,
50,139.3687185,116.8,136.51,TRUE,FALSE,FALSE,-14.4%,,,,,,
321,187.7226036,200.51,192.55,FALSE,TRUE,FALSE,4.1%,,,,,,
1226,61.18740108,61.67,58.96,TRUE,FALSE,FALSE,4.6%,,,,,,
859,55.75872414,50.14,51.68,TRUE,FALSE,FALSE,-3.0%,,,,,,
128,142.7128849,138.99,142.46,TRUE,FALSE,FALSE,-2.4%,,,,,,
213,124.9406989,124.93,123.05,TRUE,FALSE,FALSE,1.5%,,,,,,
1783,86.93008678,87.46,87.91,FALSE,TRUE,FALSE,-0.5%,,,,,,
1722,52.2763347,51.31,49.11,TRUE,FALSE,FALSE,4.5%,,,,,,
1845,78.20242544,77.62,75.04,TRUE,FALSE,FALSE,3.4%,,,,,,
1386,54.57839914,52.69,52.15,TRUE,FALSE,FALSE,1.0%,,,,,,
852,160.564205,173.27,185.01,FALSE,TRUE,FALSE,-6.3%,,,,,,
732,71.18378578,54.72,69.53,TRUE,FALSE,FALSE,-21.3%,,,,,,
375,41.99703479,43.35,40.77,TRUE,FALSE,FALSE,6.3%,,,,,,
1693,21.11553004,22.58,18.73,TRUE,FALSE,FALSE,20.6%,,,,,,
1518,102.1550153,105.86,100.62,TRUE,FALSE,FALSE,5.2%,,,,,,
1545,55.444287,55.98,54,TRUE,FALSE,FALSE,3.7%,,,,,,
211,32.43991638,30.82,29.37,TRUE,FALSE,FALSE,4.9%,,,,,,
1337,47.0787345,40.72,42.53,TRUE,FALSE,FALSE,-4.3%,,,,,,
35,399.439081,376.93,384.21,TRUE,FALSE,FALSE,-1.9%,,,,,,
1174,82.3525238,82.71,80.09,TRUE,FALSE,FALSE,3.3%,,,,,,
1774,69.24234135,69.44,68.03,TRUE,FALSE,FALSE,2.1%,,,,,,
488,130.5410529,132.69,126.39,TRUE,FALSE,FALSE,5.0%,,,,,,
1072,97.57713076,99.59,96.12,TRUE,FALSE,FALSE,3.6%,,,,,,
1006,50.86080674,51.75,48.29,TRUE,FALSE,FALSE,7.2%,,,,,,
1659,241.7207047,235.38,263.92,FALSE,TRUE,FALSE,-10.8%,,,,,,
1214,113.2109926,112.78,112.15,TRUE,FALSE,FALSE,0.6%,,,,,,
148,89.64773587,87.98,86.97,TRUE,FALSE,FALSE,1.2%,,,,,,
1120,103.3053276,93.91,101.28,TRUE,FALSE,FALSE,-7.3%,,,,,,
1409,81.31993072,78.55,80.32,TRUE,FALSE,FALSE,-2.2%,,,,,,
