,Predictions,Actual,Stock Price
968,238.3664230378514,240.98,235.96
298,83.49053280745085,79.62,81.74
1059,21.825858585138636,21.61,20.52
1615,184.91253471422624,175.57,181.87
1527,175.3741607710346,174.63,176.89
1301,92.91738588421218,94.55,91.77
410,113.41387881794162,115.23,113.33
592,59.74554529342912,61.78,57.88
894,39.451138631586055,37.54,38.39
1564,359.17765478238175,381.69,364.25
477,20.417868009632876,17.48,18.91
733,173.20073002406394,169.29,168.7
815,93.49913522646746,91.84,92.63
136,249.4892939041559,265.38,247.08
743,49.018576110459186,49.59,48.69
563,143.48692066912565,137.15,142.0
1525,172.1329442896166,169.4,169.98
631,83.15634601856944,84.39,82.1
1846,274.8172579365185,248.82,275.99
722,103.08731115045613,104.99,99.02
1591,180.27638541621963,188.51,179.39
838,65.0544689236442,68.14,64.53
871,67.61677590738567,66.66,67.42
509,57.48322311464457,55.4,56.27
1065,63.89067807443672,77.33,62.26
1706,29.69227335230249,30.9,28.16
1110,196.57009435999794,195.57,195.18
1474,93.9977167478053,94.31,94.23
575,45.13009691979784,44.97,43.9
458,40.06391871494793,39.51,38.85
171,45.20012693697907,43.81,43.81
1047,224.1215941109357,241.27,226.43
1874,114.94942179475821,111.23,113.14
5,70.50217619975778,70.91,69.84
820,104.6772328033232,107.7,102.95
915,18.628134501057183,18.23,17.28
683,27.716550457929216,27.62,25.65
992,67.27646804985855,62.47,67.26
757,89.72070370636405,90.36,87.51
1612,44.51041260574219,44.5,42.89
1247,87.95349699984065,93.02,89.27
1053,153.65290892653024,154.91,153.34
559,67.61108816662878,66.88,66.46
1231,599.9652685160287,563.07,589.94
1165,37.776758083417405,32.75,34.95
998,342.9879369172212,306.0,339.59
1076,136.40507534876002,129.88,134.26
53,179.8147419691474,186.7,178.62
425,130.38160402351843,130.26,129.84
600,51.231463359779475,46.86,50.09
1534,105.25517173677196,112.4,104.74
1750,59.141038954162866,51.71,56.94
1361,63.77023549331895,68.16,62.57
1019,31.991369378025265,31.13,30.94
686,82.679058893624,82.08,80.51
656,81.45594196886822,82.94,80.24
67,370.61708978586887,331.99,384.13
907,14.936212562292457,14.97,14.52
1779,66.41636207214786,67.83,65.54
1073,74.27535512581352,75.75,72.81
486,1727.3708853713538,1744.91,1697.04
826,47.378286277936944,45.67,46.31
1072,98.81558185373747,99.59,97.73
916,45.75600417794117,42.74,45.09
283,84.7928110447198,83.79,83.64
911,69.14299032297704,67.4,66.88
90,65.01428051319141,68.62,64.35
1422,145.10732025607285,144.4,141.67
1384,64.92821392262367,65.65,62.97
346,262.7587998291339,265.33,261.46
859,53.27594787745734,50.14,51.48
25,55.72631989585822,55.89,56.13
1133,30.415117552968084,27.35,29.17
226,76.35796694886996,78.93,74.62
127,100.4245347501813,106.22,98.66
891,220.1863830964095,227.82,218.07
185,89.24124174697376,92.3,88.93
57,59.33924716086171,59.82,57.9
108,79.60163917372462,78.99,77.89
1177,35.39193460719098,33.2,33.95
824,75.7856060580735,79.56,74.74
842,215.6152426205042,216.56,219.49
1139,77.89187001405863,73.65,76.16
1068,36.230859471357256,36.69,35.22
648,138.40772257147194,114.12,136.52
1262,94.13480362797073,89.9,92.97
1221,82.81802404720369,85.9,81.95
1702,256.0827034831571,271.51,256.13
85,157.3689801885816,155.24,158.01
554,36.484434240409335,36.26,35.77
532,81.04502349956414,76.73,79.25
131,176.54367935998624,177.96,174.83
1414,30.01410398714464,30.92,28.57
294,46.28203631593569,47.4,45.16
485,25.871868710346057,24.76,24.95
1484,93.51984844212558,93.3,91.28
1818,57.36391437604325,55.53,55.82
1083,113.13220813732137,105.22,113.89
1548,364.8285055673984,411.54,370.44
316,99.07060061325522,95.12,97.85
264,64.73897468979581,64.11,64.47
1505,301.87866597354366,297.21,298.84
1159,84.8008771933693,87.53,82.46
932,23.187718278283533,22.67,22.16
332,202.21959276550274,198.5,199.09
963,39.572369692355004,39.86,37.96
1656,67.60320060933958,68.2,66.66
333,183.16915987709706,173.87,179.9
1427,65.94857731720036,61.34,65.6
1180,97.95608185345229,98.22,96.49
163,193.74072232751604,196.6,192.44
1677,32.908494582430905,30.51,31.7
1018,141.02019330329165,139.04,139.06
35,378.14183763413826,376.93,369.17
1297,676.386590079829,683.84,662.3
217,106.45314860281648,109.71,104.45
518,74.96613675084974,76.15,74.44
1776,111.75231191348219,108.82,109.67
431,25.193037824552896,24.15,22.73
856,40.63575916264352,41.24,39.59
1812,69.07611976251371,72.48,67.88
437,75.07948682040218,70.04,73.82
119,46.853114432343006,47.12,45.68
1306,175.2398182490498,173.2,170.81
606,132.9912590018992,148.2,136.69
1031,308.9240473833832,268.27,303.97
1315,386.194734101697,326.4,379.48
801,58.31832522510376,54.17,57.33
611,72.99565570785037,58.96,70.15
143,19.115433185449117,18.12,17.68
704,124.69790072685464,118.91,122.41
1513,45.40186402073057,43.56,44.45
407,104.21971379765336,98.42,103.16
1627,21.548973967818956,21.3,19.52
439,92.71353233386208,100.8,92.96
669,132.01537233276395,136.91,131.01
901,31.15862798029963,32.67,29.61
1682,92.01208143384714,83.35,91.06
725,30.85377209926017,29.45,29.24
194,72.25243095422958,73.22,72.63
117,149.17776285448292,137.71,143.89
1695,66.7382879705475,67.04,64.45
1239,46.9927909501257,46.03,45.17
1230,47.41037988266352,45.89,46.19
876,97.9997137211546,96.54,94.49
996,20.00662437538082,19.3,18.68
290,202.08451442599784,225.03,201.5
550,90.67155231566989,85.47,88.95
1308,108.6870244097415,107.34,108.03
798,11.68392659033249,9.68,9.89
1338,128.9155011315541,132.58,128.84
330,57.477990844737626,57.24,57.73
79,62.695056229619226,68.9,61.47
975,37.20127064127219,37.95,36.47
640,64.87285719815742,56.04,62.35
855,96.68997122171004,99.54,95.6
364,75.18468666250088,80.0,74.82
1809,81.4787043860762,92.66,82.02
1796,115.00399782263544,114.97,118.13
1344,71.97268944898103,61.43,68.88
1560,169.97726218062888,186.5,165.96
450,298.96521162024754,309.06,301.43
1056,27.047178523333468,28.34,26.18
334,134.91365339446918,137.84,132.89
1195,146.72746796412224,146.46,145.81
1250,32.864418784964116,30.61,32.27
1579,33.94337725755311,36.41,33.27
1174,82.22909421343113,82.71,81.14
1334,43.274694641611894,44.42,42.12
1273,119.94863110366205,126.7,117.5
981,17.71319435323353,15.66,15.96
423,1916.4633032330405,1909.5,1897.66
819,246.19541392277353,223.46,241.58
1813,270.5739463114391,300.24,270.37
787,99.07112398948459,102.22,98.49
496,37.01199198744748,38.13,36.02
441,53.104915920702865,53.01,53.16
29,54.10257152867808,53.29,51.94
738,100.70809115919238,101.06,98.31
1521,59.28483280862505,61.01,58.38
1323,119.07082199856632,127.54,117.67
1398,86.86568248773553,95.6,89.02
1013,19.005228139070134,18.33,17.84
1082,31.798822826815574,33.27,30.48
1044,197.47165275939602,209.8,196.23
1134,30.977025978147815,27.23,28.43
336,130.47301314072678,135.42,128.8
404,55.57322580922054,52.09,53.01
974,39.34433514729892,43.47,39.07
1683,91.66289687953625,88.85,90.84
279,137.00944917968047,132.62,134.75
1444,124.22089482946804,124.15,121.89
1363,308.9147266089133,330.67,303.76
26,57.73340821293591,56.69,56.34
533,218.10521068416813,213.95,215.91
623,53.10787662980582,54.4,51.78
1629,90.32569557574949,88.12,88.56
844,63.33653975233974,67.07,62.19
515,48.17024342160329,46.95,47.35
832,73.03864841035413,83.76,73.76
216,198.44226614600967,195.47,194.5
1085,73.02339999767392,72.68,72.16
70,234.848620211609,237.77,230.0
850,61.0645063700354,62.37,59.35
655,67.42169618930495,64.17,66.56
1243,28.922426105127773,28.21,27.82
100,177.05179347321916,179.95,176.02
1653,75.3077999688675,73.79,74.49
1714,92.26723976495022,94.4,90.28
65,72.41426919844683,76.13,70.86
1580,118.36454222434395,115.95,117.97
490,50.30165354339274,50.13,48.93
1198,554.7047304218883,550.74,552.97
306,66.16952397314928,69.04,64.81
1856,337.3313252522275,350.22,338.41
578,74.39747089535484,69.29,74.1
1669,28.60146004077356,22.62,27.02
1838,164.67284005678533,160.39,165.61
1340,37.04308692236282,34.1,36.43
1638,115.38548964000599,112.4,113.22
1392,35.69501275742701,36.01,34.95
72,20.690012848385955,19.38,19.27
186,34.26891991213646,31.01,32.5
580,125.41434995072852,132.95,125.0
291,358.98987882667,312.32,363.77
1119,155.9756634420944,159.45,154.44
625,64.18113243150557,66.9,62.74
1558,160.52655018460416,165.91,160.38
830,51.76993003683877,48.29,48.94
595,23.01113617861569,21.24,22.15
673,117.92888195217212,115.21,115.97
99,355.7945277201088,334.5,351.08
1169,174.316980545567,182.14,172.48
261,44.919190002705314,44.25,43.46
1399,174.62687876464526,175.09,172.51
1532,17.033584098571826,15.83,15.46
347,54.85881094783403,56.92,54.0
207,21.103480595283255,21.34,20.33
1668,77.58219904483099,76.93,77.25
1228,125.28525922658442,129.36,123.89
586,63.33870307106626,63.04,61.38
1002,52.92196100752381,52.99,51.11
1187,138.79363165232144,139.44,137.9
984,90.90847679409946,87.05,88.88
296,116.15977871736719,110.26,113.98
73,16.13498421343057,15.45,15.6
161,81.15338364735489,90.06,80.97
167,172.4296206605511,184.31,172.78
1375,114.76827114905052,115.6,111.31
1205,45.072578704507784,45.42,44.09
599,160.15130159705228,175.22,159.93
329,118.97062828874166,114.33,118.0
1495,54.537793286451446,53.35,52.87
349,99.76849408911445,92.96,97.69
1183,58.90559510329695,55.51,58.1
478,57.49878612644297,57.93,55.55
180,93.03388624385113,93.62,91.24
1415,46.343485994327665,48.99,45.98
1466,80.47203366715227,83.79,79.05
1263,43.64208147552618,44.39,43.6
1554,50.71372931863634,52.76,49.58
1264,616.0960881945903,610.1,608.03
36,172.04262341424453,156.92,170.2
570,12.901819206751819,13.01,11.72
840,276.9760750366464,279.09,271.2
1365,113.44558524516415,110.64,111.02
1343,35.8225502773159,36.99,35.31
339,72.32243451866763,75.44,70.4
647,39.57458470363406,41.57,38.23
835,35.403897661001785,32.68,34.31
1061,107.13628683000009,116.19,106.36
721,90.21933871948289,90.53,88.82
389,505.6475743518017,470.82,504.88
661,95.78900895351079,81.08,94.21
1847,50.55082243542974,48.52,48.94
30,136.92337029521087,138.37,136.47
1086,150.90393468476918,146.7,148.82
923,73.58701078404927,71.19,71.58
241,77.47753199225745,80.28,76.88
723,120.65216523709208,122.5,118.56
662,61.020779331909765,61.29,59.63
549,191.1150603411184,189.8,189.25
37,69.99951326164036,74.1,71.32
803,17.06900346597245,14.47,15.97
188,29.659156940197526,27.21,28.53
519,205.25602858870656,211.93,203.57
456,38.498808533703304,39.98,38.05
1648,87.89773068322084,88.42,86.78
150,124.6166341914002,132.73,123.1
1459,89.42381785130415,87.9,87.81
768,69.0029441910357,67.3,67.01
1526,76.08279396737974,76.64,75.56
806,135.01500808018557,137.37,133.54
492,100.08748113945019,98.62,97.53
102,260.18376486765374,271.9,257.09
299,224.58346106812144,203.74,228.28
1242,53.56865320607786,54.86,52.14
552,203.0776048808998,173.69,201.16
395,51.496471367493626,52.69,52.27
598,75.52727737116345,79.24,74.54
234,34.401985931453396,34.66,33.18
988,88.68368750945027,87.5,87.33
942,38.50489206009727,35.95,36.75
520,70.98671551515805,70.26,69.46
1769,52.543062618334325,53.62,51.42
124,78.83241220609398,81.15,76.8
1854,25.904897517223755,25.32,25.75
739,384.72621430783124,384.11,392.43
1168,202.20532366589572,211.75,198.95
476,29.707098163079664,28.17,28.13
436,51.986305953776935,52.36,50.8
1006,50.65356446791742,51.75,50.04
849,156.82755314915283,172.08,156.09
764,168.21930877283762,175.82,165.29
542,45.91628991607839,41.8,45.13
985,132.75091881998918,144.5,133.53
1515,442.04198252907696,439.82,437.29
112,90.14764031585834,82.72,89.26
152,177.3756688240864,184.26,176.85
1079,22.778561551444092,20.06,21.98
459,48.9865442599046,52.73,50.43
930,37.51082783121425,35.67,35.86
528,94.2888973500583,98.69,93.77
1767,117.48735825221272,118.06,116.35
133,67.5448932954665,69.8,65.57
1449,68.29044256151882,72.27,65.24
95,89.20942890664918,95.41,88.33
1712,36.47069223446603,42.43,46.16
749,28.52882873745982,25.32,27.03
650,74.7022681496364,77.91,73.16
257,175.08143352152433,186.87,176.57
313,267.2108090379542,264.94,267.3
1662,102.099650442706,99.22,100.69
394,35.21116387143369,34.72,34.33
1825,50.32222422421988,50.9,48.11
388,393.65707825412085,341.89,383.83
909,38.3622764603625,38.39,37.65
1678,227.54577028521686,235.01,230.19
1153,108.90439402220365,116.05,107.57
105,18.093086893522003,18.08,17.23
867,46.357998021214364,47.12,44.9
516,172.33366133628653,169.37,171.17
1589,68.15959643308359,70.7,67.09
517,98.31425181422608,85.6,97.73
610,100.75257946404278,108.01,100.63
58,63.401774748993326,63.23,62.57
271,112.03599411530874,115.73,110.58
142,45.000644871865525,43.72,44.43
1390,77.07835659534278,81.81,76.73
807,258.800694330774,260.24,255.64
588,104.92679638192186,105.19,101.86
1358,38.94696173800253,32.69,38.13
12,64.56949118559358,66.26,62.5
1364,66.80769554715481,65.23,64.9
140,52.11071578099139,49.69,49.51
438,65.93466484056543,55.85,63.77
1386,53.01030235827877,52.69,51.86
1113,134.38728970748525,141.29,133.55
949,37.95947452226849,40.08,37.74
101,44.62376325245381,43.32,44.57
1674,28.603806539430295,25.29,27.37
946,270.9148760536259,306.11,279.34
1048,98.26583277315666,100.49,97.3
1568,66.56643346799342,68.19,65.19
179,31.675458985179162,29.36,29.98
1304,39.135629679700806,39.27,37.89
736,83.58284681047014,87.06,83.01
1171,70.89805028233934,67.03,70.05
274,108.80178288288545,107.64,106.27
348,136.40130428654038,149.47,135.01
256,102.44466408818454,103.03,100.17
1009,69.659404994749,62.92,67.68
1832,78.70860259770564,82.29,77.6
1457,59.66845954579142,55.99,58.05
706,450.72754405128524,431.09,444.99
1185,20.143806597704017,21.52,19.44
1207,97.54080714928436,104.82,96.43
1064,101.60057866146785,113.53,102.18
1705,53.02379790633621,52.99,51.53
51,230.6010239871465,218.87,232.07
254,248.06572569373122,246.67,243.07
1167,27.498867811747687,27.58,26.14
106,110.61676304144125,106.49,110.02
1210,27.256423997896658,27.79,26.38
1387,199.07134128857166,208.49,199.82
1837,120.35859477100352,123.83,119.84
153,114.05307473972198,105.37,112.32
1458,35.716410565681635,34.38,34.38
192,128.9689222025816,132.18,126.6
1625,73.88122549083857,73.72,72.58
435,72.20070245308634,72.36,72.34
1030,21.31874601485506,19.43,19.73
1007,39.80371251092435,37.99,38.65
1455,109.30880799387442,91.86,110.51
783,176.841647451435,187.64,177.08
1380,106.6326692568642,107.9,105.0
1219,82.5019441037816,81.62,80.99
325,129.0491719366808,139.58,126.53
851,126.48789057754759,132.09,124.29
1381,30.144933523626317,27.32,28.95
1740,286.55963241788254,290.73,282.76
191,248.9303217835553,260.32,247.12
877,71.89956030352025,71.69,70.53
952,95.55388532381625,94.2,94.06
19,372.49204865189614,367.6,363.02
1379,137.6227811903894,130.26,134.8
773,74.1428592176872,73.69,72.0
1370,19.559355752371697,18.6,18.3
341,72.41990653026073,79.13,72.37
40,18.93738124613839,23.98,18.35
645,161.38230135646455,148.75,158.33
1642,231.59457012178166,239.12,232.21
221,63.69203692591706,68.55,63.07
926,82.47929916580834,82.03,80.17
782,90.96852931815516,96.25,89.56
392,51.06080804485178,51.55,49.62
1843,100.70385076759668,101.16,99.06
193,88.08394987030046,85.98,86.54
23,44.53246624015483,40.63,43.23
624,75.15560267724119,71.15,72.99
846,119.88618239895067,116.58,120.5
242,98.21626858707252,98.2,97.91
1820,110.72580376440752,121.04,111.34
406,61.35772030031753,57.77,59.76
809,218.81623958352924,222.86,218.35
91,33.06578927120133,38.1,32.46
1320,61.31511228302101,60.34,60.98
1657,52.78221282531663,53.29,51.36
1385,99.67046793483652,98.84,97.6
1588,122.74451764816105,137.54,118.55
837,31.449151620965935,27.48,29.65
400,46.694742356577336,45.75,45.5
626,37.57312129321145,38.61,36.24
1829,126.80108259769224,136.84,123.32
1393,110.1965359808586,110.8,107.66
1050,122.53225691076064,121.31,121.56
1288,183.59248988450526,191.7,180.42
866,78.29597803548664,81.06,76.82
663,102.2794432568442,97.72,100.89
239,18.398949301180544,18.49,17.49
350,67.40346195717349,71.99,67.26
1582,181.1048429960432,180.73,179.76
212,96.90387231691432,98.79,95.84
1777,89.40367486222813,90.7,88.52
1819,35.154707952524674,34.88,34.12
1784,20.34977025851899,19.89,19.25
1761,79.68294485871999,81.9,79.0
1815,62.96218863425876,65.94,61.7
462,88.37552474145441,91.75,89.03
986,29.663563414730284,29.26,28.13
696,84.1328025431976,82.83,82.37
1764,125.5033250514162,128.1,124.92
1241,62.706401790249394,62.49,63.3
1348,60.95873166440225,60.49,59.68
772,422.8854668085154,441.61,420.59
1742,32.61306161810093,26.6,31.44
685,109.59645100222421,109.17,107.73
1016,49.15775766320916,48.48,48.33
529,37.48448852824546,37.29,35.83
1260,124.0941362854114,133.76,121.36
710,37.78716826204487,36.47,36.06
1848,68.48335424677526,71.43,66.07
198,91.72294850353909,82.74,89.68
397,114.00017625084456,118.77,113.88
24,95.49052279905084,93.48,94.06
1285,63.96124391350976,58.84,62.72
1754,60.80274389361071,64.11,59.29
1265,26.96032004722049,27.32,26.68
730,35.504657275974964,37.15,34.08
795,48.858371352962074,48.74,45.76
810,82.60497682835472,85.7,81.86
596,134.80257768562672,131.5,139.09
1765,41.93881053326554,38.81,39.78
1501,95.78580634229795,103.13,94.39
1259,50.18292573047436,55.34,50.02
48,98.82645181723977,97.66,98.77
1720,30.72689787253489,30.12,30.01
1788,27.506338310297984,26.68,26.1
155,39.74968657033945,36.95,38.54
